"id","question","answer"
"1","я смогу учиться на бюджете после академического отпуска?","Академический отпуск предоставляется обучающимся по семейным обстоятельствам. Если обучаетесь на бюджете, то выход из академического отпуска будет на бюджет"
"2","Где баллы?","Вы можете посмотреть баллы за конкретное задание в Microsoft Teams в разделе Задания. Если баллы там отсутствуют, вы можете посмотреть баллы на платформе, где проходят занятия (Moodle, Гиперметод), или в Личном кабинете УрФУ в разделе БРС. Иначе обратитесь лично к преподавателю"
"3","Спасибо!","Рад помочь! Хорошего дня!"
"4","Болят глаза","Что-то я тоже начал плавиться, самое время перекусить и немного отдохнуть, вам советуем тоже самое, а дальше возвращаемся к работе!"
"5","Есть ли военная кафедра в УрФУ?","Информацию о военной кафедры вы можете посмотреть на сайте Военного учебного центра или узнать по номерам 375-97-40 (кафедра ВКС), 375-44-40 (НУЧ ВУЦ), 375-44-87 (дежурный)."
"6","Когда закончится дистант","Я не знаю. Жду очного формата, как и вы. Вообще, рекомендую следить за указами ректора университета. Там есть все даты. Указы обычно выкладываются в группу Союз студентов УрФУ или Союз студентов твоего института."
"7","Можно еще вопрос?","Жду вашего вопроса :)"
"8","Когда начнется сессия","Данная информация будет доведена до директоров института, а также распространена студентами через деканаты институтов и старост академических групп, после выхода приказа о зимней зачетно-экзаменационной сессии"
"9","Игнорит препод","Для начала можете обратиться в деканат вашего института, возможно, у них есть другая почта преподавателя. Все мы должны понимать какая нагрузка сейчас у них, и если он не отвечает вам пару часов или день, то стоит подождать. Возможно, вы не указали в письме тему, поэтому преподаватель не увидел ваше письмо."
"10","Когда придет стипендия?","В конце каждого месяца. Я очень её жду."
"11","Как перевестись на бюджет","Вам необходимо закончить две сессии подряд на 4 и 5 и, при наличии свободных бюджетных мест, у вас есть возможность перевестись. Уточняйте в деканате своего института"
"12","Информация о традиционных майнорах","Данная информация будет доступна Вам в личном кабинете студента, как только это будет определено."
"13","МСЧ УрФУ","Любой студент УрФУ может обратиться за медицинской помощью в МСЧ УрФУ. Для этого нужен паспорт и полис. Прописка не имеет значения."
"14","Не могу присоединиться к занятию в Тимс","Попросите одногруппников или преподавателя пригласить Вас через список участников"
"15","Неправильно ввел почту при регистрации на urfu.ru, что делать?","Воспользуйтесь сервисом id.urfu.ru - раздел ""Параметры профиля"", ""Редактировать параметры внешней электронной почты"""
"16","Почему много онлайн курсов","Образовательная программа зависит от направления обучения. Возможно, большое количество онлайн курсов связано с неблагоприятной эпидемиологической ситуацией."
"17","Как отвечать онлайн на предметах","Способ ответа зависит от задания и преподавателя. Вы можете продиктовать решение и сказать ответ посредством аудиосвязи. Другой вариант: включить демонстрацию экрана и показать своё решение."
"18","справка об отсрочке от армии","По Вашему вопросу необходимо обратиться во Второй отдел УрФУ - ул. Мира, 19, И-224 (343-375-48-28)."
"19","Подписка Apple music","Активируйте доступ к Office 365 (https://dit.urfu.ru/soft/microsoft-office-365/) и получите почту в домене urfu.me. Инструкцию вы найдете там же. Туда придет письмо с подтверждением студенческого статуса."
"20","можно ли зайти в урфу?","В УрФУ может попасть каждый студент, но ходят слухи..."
"21","Связь с преподавателем в тимс","В Teams есть раздел Чат. Там Вы можете ввести имя преподавателя и написать ему лично."
"22","Где получить справку на мое имя?","По данному вопросу Вам необходим написать на почту Архива УрФУ, указав свои ФИО, паспортные данные, направление подготовки и годы обучения, arhiv@urfu.ru"
"23","Статус УрФУ","С данным вопросом Вам необходимо обратиться в деканат своего института."
